               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                  32,            0.030946,            0.013069,             0.02259,             0.12475,             0.63597,             0.41481,             0.37932,             0.12856,             0.02655,            0.034855,            0.020345,             0.12273,          0.00039375,          0.00039375,            0.060894
                  33,            0.028889,            0.012749,            0.021006,             0.12309,              0.5973,             0.48519,             0.44158,             0.17647,            0.027792,            0.034271,            0.021252,             0.12243,          0.00040563,          0.00040563,            0.059706
                  34,            0.029951,            0.013556,            0.021459,              0.1234,             0.48356,             0.55494,             0.34831,            0.090608,            0.030361,             0.04779,            0.023151,             0.12265,          0.00041751,          0.00041751,            0.058518
                  35,            0.028442,            0.012861,            0.021299,             0.12185,             0.54034,              0.5182,              0.4263,             0.16089,            0.027381,            0.032844,            0.021506,             0.12155,          0.00042937,          0.00042937,            0.057329
                  36,            0.028932,            0.013007,            0.021023,             0.12197,             0.24985,             0.70655,             0.39237,             0.14724,             0.02761,            0.035736,            0.020301,             0.12087,          0.00044123,          0.00044123,            0.056141
                  37,            0.028877,            0.013052,            0.020436,             0.12066,             0.57068,             0.45013,             0.44192,             0.16074,            0.027933,            0.032026,            0.020786,             0.12006,          0.00045308,          0.00045308,            0.054953
                  38,            0.028206,            0.012257,            0.020744,             0.12007,              0.1708,             0.91538,             0.38102,             0.08256,            0.027138,            0.036459,            0.021683,             0.11941,          0.00046492,          0.00046492,            0.053765
                  39,            0.027837,            0.012346,            0.021008,              0.1172,             0.25173,             0.66791,             0.33165,             0.12157,            0.028241,            0.031966,            0.020146,             0.11816,          0.00047676,          0.00047676,            0.052577
                  40,            0.029401,            0.012308,            0.020911,             0.11672,              0.2544,             0.80142,             0.30527,             0.14349,             0.02786,            0.040278,            0.020122,             0.11683,          0.00048858,          0.00048858,            0.051389
                  41,            0.028229,            0.012482,             0.02022,             0.11856,             0.32295,             0.64889,             0.37756,             0.16471,            0.027011,             0.03621,            0.019624,             0.11613,           0.0005004,           0.0005004,              0.0502
