               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                  32,            0.028823,           0.0074374,             0.01428,             0.19211,             0.72157,             0.77885,             0.80792,             0.45902,            0.024976,            0.014571,            0.011105,             0.19218,          0.00099244,          0.00099244,          0.00099244
                  33,             0.02791,           0.0076166,            0.011774,             0.19168,             0.61409,             0.77564,             0.74406,             0.46736,            0.030193,            0.011752,            0.010837,             0.19229,          0.00099194,          0.00099194,          0.00099194
                  34,            0.026514,           0.0072487,            0.011313,             0.19203,             0.56221,              0.7888,              0.6756,             0.42594,            0.028018,            0.014514,            0.012539,             0.19232,          0.00099143,          0.00099143,          0.00099143
                  35,            0.027247,           0.0073151,            0.012358,             0.19236,             0.71024,             0.83397,             0.82566,             0.52234,             0.02844,            0.012334,            0.010591,             0.19239,          0.00099091,          0.00099091,          0.00099091
                  36,            0.026199,           0.0069139,            0.011473,             0.19266,             0.74433,             0.88673,             0.92544,             0.53859,            0.025692,           0.0091622,            0.010173,             0.19227,          0.00099037,          0.00099037,          0.00099037
                  37,            0.026765,           0.0067522,            0.010312,              0.1923,             0.70393,             0.81709,             0.82093,             0.43413,            0.025524,           0.0096023,            0.010051,             0.19212,          0.00098981,          0.00098981,          0.00098981
                  38,            0.024393,           0.0068945,           0.0099857,             0.19272,                   0,                   0,                   0,                   0,            0.072175,            0.034009,              0.1138,             0.19603,          0.00098924,          0.00098924,          0.00098924
                  39,            0.025413,            0.006408,             0.01111,             0.19237,             0.60837,             0.81795,             0.75275,             0.41684,            0.026284,            0.011787,            0.011705,             0.19235,          0.00098865,          0.00098865,          0.00098865
                  40,             0.02998,           0.0063188,           0.0084551,             0.19144,              0.4674,             0.70381,             0.58674,             0.21295,            0.044789,            0.015305,            0.024976,             0.19367,          0.00098805,          0.00098805,          0.00098805
                  41,            0.027623,           0.0063099,           0.0090556,             0.19158,             0.76892,             0.84038,             0.90976,             0.53328,            0.028407,            0.011297,           0.0073909,              0.1929,          0.00098743,          0.00098743,          0.00098743
                  42,            0.027033,           0.0064627,           0.0074699,             0.19178,             0.69994,             0.93654,             0.90152,               0.504,            0.029917,            0.009827,           0.0064974,             0.19245,           0.0009868,           0.0009868,           0.0009868
                  43,            0.024969,           0.0061936,           0.0071556,              0.1932,             0.81784,             0.85353,             0.91719,             0.45312,            0.024103,           0.0087102,           0.0065467,             0.19265,          0.00098615,          0.00098615,          0.00098615
                  44,            0.024283,           0.0059187,           0.0057569,              0.1926,             0.79973,             0.92139,             0.94993,             0.51407,            0.024099,            0.009104,           0.0059136,             0.19259,          0.00098549,          0.00098549,          0.00098549
                  45,            0.024411,           0.0059071,           0.0051115,             0.19233,             0.91449,             0.88066,             0.96459,               0.544,            0.023792,           0.0094929,           0.0036596,             0.19228,          0.00098481,          0.00098481,          0.00098481
                  46,            0.022632,           0.0058884,           0.0042319,             0.19286,             0.88235,             0.30823,             0.51262,             0.29754,            0.037475,            0.021406,            0.031108,             0.19228,          0.00098412,          0.00098412,          0.00098412
                  47,            0.023098,           0.0058332,           0.0043285,             0.19257,             0.87699,             0.96134,             0.96171,             0.53657,            0.022748,           0.0083473,           0.0024042,             0.19195,          0.00098341,          0.00098341,          0.00098341
                  48,            0.022697,           0.0057645,           0.0041077,             0.19234,              0.8158,             0.86147,             0.88206,             0.49115,            0.024379,            0.010466,           0.0075087,             0.19107,          0.00098268,          0.00098268,          0.00098268
                  49,            0.022973,           0.0057016,           0.0040695,              0.1918,                   0,                   0,                   0,                   0,            0.078746,            0.041513,            0.092678,             0.19471,          0.00098195,          0.00098195,          0.00098195
                  50,            0.024527,           0.0062231,           0.0047869,             0.19218,             0.93305,             0.90583,             0.97371,              0.5055,            0.023169,           0.0076663,           0.0035327,             0.19069,          0.00098119,          0.00098119,          0.00098119
